company,id,year,year end date,event,event date,liability,instrument,type,subtype,section,traded,price,spread
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,AU,10/02/1914,equity,common,,,american railroad stocks and shares,FALSE,FALSE,FALSE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,AU,10/02/1914,equity,preferred,,,american railroad stocks and shares,TRUE,TRUE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,AU,10/02/1914,equity,deferred,,,american railroad stocks and shares,TRUE,TRUE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,AU,10/02/1914,debt,bond,,,american ralroad bonds - sterling,TRUE,FALSE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,AU,10/02/1914,debt,bond,,,american ralroad bonds - sterling,TRUE,TRUE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,AU,10/02/1914,debt,bond,,,american ralroad bonds - sterling,TRUE,TRUE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,LD,14/02/1914,equity,common,,,american railroad stocks and shares,FALSE,FALSE,FALSE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,LD,14/02/1914,equity,preferred,,,american railroad stocks and shares,TRUE,FALSE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,LD,14/02/1914,equity,deferred,,,american railroad stocks and shares,TRUE,TRUE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,LD,14/02/1914,debt,bond,,,american ralroad bonds - sterling,TRUE,FALSE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,LD,14/02/1914,debt,bond,,,american ralroad bonds - sterling,TRUE,FALSE,TRUE
"Alabama, NO, T & Pacific Junction Railway",RL001,1913,31/12/1913,LD,14/02/1914,debt,bond,,,american ralroad bonds - sterling,TRUE,FALSE,TRUE
